,Unnamed: 0,yie_react,SCREEN_ID,NOTEBOOK_ID,REACTION_ID,KeyWord_STD,ReactionGroup,RXN_SMILES,PCAT_CMPD_ID,PRODUCT_STRUCTURE,Product_Yield_PCT_Area_UV,Product_UV_Analysis_Wavelength_nm,Product_Yield_Mass_Ion_Count,Product_Selectivity,Solvent_1_Name,Reaction_T,Reaction_Time_hrs,Catalyst_1_eq,Catalyst_1_ID[1],catalyst_1_ID_1_SMILES,Catalyst_1_ID[2],catalyst_1_ID_2_SMILES,Catalyst_1_Short_Hand,Catalyst_2_eq,Catalyst_2_ID[1],catalyst_2_ID_1_SMILES,Catalyst_2_ID[2],catalyst_2_ID_2_SMILES,Catalyst_2_Short_Hand,Reactant_1_eq,Reactant_1_ID,Reactant_1_SMILES,Reactant_2_eq,Reactant_2_ID,reactant_2_SMILES,Reactant_3_eq,Reactant_3_ID,reactant_3_SMILES,Reagent_1_eq,Reagent_1_ID,Reagent_1_Short_Hand,Reagent_2_eq,Reagent_2_ID,Reagent_2_Short_Hand,ReactionClass,catalyst,ligand,Year
719,1108,6__PF-04508955____,SCRN_243,00119131-1961,RKB-03641768,HYDROGENATION,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([C:6]1([C:11]([O:13][CH2:14][CH3:15])=[O:12])[CH2:10][N:9](Cc2ccccc2)[CH2:8][CH2:7]1)=[O:5]>>[CH3:1][CH2:2][O:3][C:4]([C:6]1([C:11]([O:13][CH2:14][CH3:15])=[O:12])[CH2:10][NH:9][CH2:8][CH2:7]1)=[O:5],PF-04950815,CCOC(=O)C1(CCNC1)C(=O)OCC,6,210.0,354853.375,,EtOAc,60.0,18.0,0.25,MFCD00011184,,,,PtO2,,,,,,,1.0,PF-04508955,N1(CC(CC1)(C(=O)OCC)C(=O)OCC)Cc1ccccc1,,,,,,,,,None,,,,Hydrogenation,PtO2,,2015
720,1109,6__PF-04508955____,SCRN_243,00119131-1961,RKB-03641769,HYDROGENATION,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([C:6]1([C:11]([O:13][CH2:14][CH3:15])=[O:12])[CH2:10][N:9](Cc2ccccc2)[CH2:8][CH2:7]1)=[O:5]>>[CH3:1][CH2:2][O:3][C:4]([C:6]1([C:11]([O:13][CH2:14][CH3:15])=[O:12])[CH2:10][NH:9][CH2:8][CH2:7]1)=[O:5],PF-04950815,CCOC(=O)C1(CCNC1)C(=O)OCC,6,210.0,0.0,,EtOAc,60.0,18.0,0.25,MFCD00011184,,,,PtO2,,,,,,,1.0,PF-04508955,N1(CC(CC1)(C(=O)OCC)C(=O)OCC)Cc1ccccc1,,,,,,,,MFCD00008868,DIPEA,,,,Hydrogenation,PtO2,,2015
721,1110,6__PF-04508955____,SCRN_243,00119131-1961,RKB-03641771,HYDROGENATION,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([C:6]1([C:11]([O:13][CH2:14][CH3:15])=[O:12])[CH2:10][N:9](Cc2ccccc2)[CH2:8][CH2:7]1)=[O:5]>>[CH3:1][CH2:2][O:3][C:4]([C:6]1([C:11]([O:13][CH2:14][CH3:15])=[O:12])[CH2:10][NH:9][CH2:8][CH2:7]1)=[O:5],PF-04950815,CCOC(=O)C1(CCNC1)C(=O)OCC,6,210.0,157298.84375,,EtOAc,60.0,18.0,0.25,,,,,10% Pt/C,,,,,,,1.0,PF-04508955,N1(CC(CC1)(C(=O)OCC)C(=O)OCC)Cc1ccccc1,,,,,,,,,None,,,,Hydrogenation,10% Pt/C,,2015
722,1111,6__PF-01037411____,SCRN_110,00119131-2600,RKB-03962902,HYDROGENATION,Metal Mediated,[OH:1][CH2:2][c:3]1[cH:12][c:7]([CH2:8][C:9]([OH:11])=[O:10])[cH:6][cH:5][cH:4]1>>[OH:1][CH2:2][CH:3]1[CH2:12][CH:7]([CH2:8][C:9]([OH:11])=[O:10])[CH2:6][CH2:5][CH2:4]1,PF-07081154,OCC1CCCC(CC(=O)O)C1,6,,13220.49469,0.0,"2,2,2-Trifluoroethanol",110.0,18.0,0.25,,,,,10% Pt/C,,,,,,,1.0,PF-01037411,c1(cc(ccc1)CO)CC(O)=O,,,,,,,,,None,,,,Hydrogenation,10% Pt/C,,2017
723,1120,6__MFCD00661297____,SCRN_111,00119131-2603,RKB-03963344,HYDROGENATION,Metal Mediated,[CH3:1][c:2]1[cH:8][c:6]([OH:7])[cH:5][n:4][cH:3]1>>[CH3:1][CH:2]1[CH2:8][CH:6]([OH:7])[CH2:5][NH:4][CH2:3]1,PF-06334133,CC1CNCC(O)C1,6,,15647.9339590192,100.0,MeOH,110.0,18.0,0.25,,,,,5% Pd/C,,,,,,,1.0,MFCD00661297,c1c(cncc1O)C,,,,,,,,,None,3.0,,,Hydrogenation,5% Pd/C,,2010
724,1121,6__MFCD00661297____,SCRN_111,00119131-2603,RKB-03963355,HYDROGENATION,Metal Mediated,[CH3:1][c:2]1[cH:8][c:6]([OH:7])[cH:5][n:4][cH:3]1>>[CH3:1][CH:2]1[CH2:8][CH:6]([OH:7])[CH2:5][NH:4][CH2:3]1,PF-06334133,CC1CNCC(O)C1,6,,38947.6015492005,100.0,MeOH,110.0,18.0,0.25,,,,,RaNi 4100,,,,,,,1.0,MFCD00661297,c1c(cncc1O)C,,,,,,,,MFCD00008868,DIPEA,3.0,,,Hydrogenation,RaNi 4100,,2010
725,1122,6__MFCD00661297____,SCRN_111,00119131-2603,RKB-03963356,HYDROGENATION,Metal Mediated,[CH3:1][c:2]1[cH:8][c:6]([OH:7])[cH:5][n:4][cH:3]1>>[CH3:1][CH:2]1[CH2:8][CH:6]([OH:7])[CH2:5][NH:4][CH2:3]1,PF-06334133,CC1CNCC(O)C1,6,,15394.1964091752,100.0,AcOH/H2O 1:3,110.0,18.0,0.25,,,,,10% Pt/C,,,,,,,1.0,MFCD00661297,c1c(cncc1O)C,,,,,,,,MFCD00011324,HCl,3.0,,,Hydrogenation,10% Pt/C,,2010
726,1123,6__MFCD00661297____,SCRN_111,00119131-2603,RKB-03963366,HYDROGENATION,Metal Mediated,[CH3:1][c:2]1[cH:8][c:6]([OH:7])[cH:5][n:4][cH:3]1>>[CH3:1][CH:2]1[CH2:8][CH:6]([OH:7])[CH2:5][NH:4][CH2:3]1,PF-06334133,CC1CNCC(O)C1,6,,36368.3527632851,100.0,MeOH,110.0,18.0,0.25,,,,,5% Pd/C,,,,,,,1.0,MFCD00661297,c1c(cncc1O)C,,,,,,,,,None,3.0,,,Hydrogenation,5% Pd/C,,2010
727,1124,6__MFCD00661297____,SCRN_111,00119131-2603,RKB-03963367,HYDROGENATION,Metal Mediated,[CH3:1][c:2]1[cH:8][c:6]([OH:7])[cH:5][n:4][cH:3]1>>[CH3:1][CH:2]1[CH2:8][CH:6]([OH:7])[CH2:5][NH:4][CH2:3]1,PF-06334133,CC1CNCC(O)C1,6,,,100.0,THF,110.0,18.0,0.25,MFCD00011184,,,,PtO2,,,,,,,1.0,MFCD00661297,c1c(cncc1O)C,,,,,,,,MFCD00008868,DIPEA,3.0,,,Hydrogenation,PtO2,,2010
728,1125,59__WYE-250410____,SCRN_95,00119131-2358,RKB-03727411,HYDROGENATION,Metal Mediated,CCOC([n:1]1[c:8]([c:4]2[c:3](Br)[n:2]1)[s:7][c:6]([C:9]([O:11][CH2:12][CH3:13])=[O:10])[cH:5]2)C>>[CH3:13][CH2:12][O:11][C:9]([c:6]1[s:7][c:8]([c:4]2[cH:5]1)[nH:1][n:2][cH:3]2)=[O:10],PF-06946452,CCOC(=O)c1cc2cn[nH]c2s1,59,,11479.2880859375,,"2,2,2-Trifluoroethanol",50.0,18.0,0.25,,,,,10%% Pd/C (dry),,,,,,,1.0,WYE-250410,c1(sc2c(c1)c(nn2C(C)OCC)Br)C(=O)OCC,,,,,,,,,None,3.0,,,Hydrogenation,10%% Pd/C (dry),,2016
