,yie_react,SCREEN_ID,NOTEBOOK_ID,REACTION_ID,KeyWord_STD,ReactionGroup,RXN_SMILES,PCAT_CMPD_ID,PRODUCT_STRUCTURE,Product_Yield_PCT_Area_UV,Product_UV_Analysis_Wavelength_nm,Product_Yield_Mass_Ion_Count,Product_Selectivity,Solvent_1_Name,Reaction_T,Reaction_Time_hrs,Catalyst_1_eq,Catalyst_1_ID[1],catalyst_1_ID_1_SMILES,Catalyst_1_ID[2],catalyst_1_ID_2_SMILES,Catalyst_1_Short_Hand,Catalyst_2_eq,Catalyst_2_ID[1],catalyst_2_ID_1_SMILES,Catalyst_2_ID[2],catalyst_2_ID_2_SMILES,Catalyst_2_Short_Hand,Reactant_1_eq,Reactant_1_ID,Reactant_1_SMILES,Reactant_2_eq,Reactant_2_ID,reactant_2_SMILES,Reactant_3_eq,Reactant_3_ID,reactant_3_SMILES,Reagent_1_eq,Reagent_1_ID,Reagent_1_Short_Hand,Reagent_2_eq,Reagent_2_ID,Reagent_2_Short_Hand,ReactionClass,catalyst,ligand
328,9__PF-07100869__MFCD00070838__,SCRN_115,00119131-2737,RKB-04008007,HYDROGENATION,Metal Mediated,[CH3:1][c:2]1[cH:7][c:6]([c:8]2[n:13][n:11]([CH3:12])[cH:10][cH:9]2)[n:5][cH:4][cH:3]1>>[CH3:1][CH:2]1[CH2:7][CH:6]([c:8]2[n:13][n:11]([CH3:12])[cH:10][cH:9]2)[NH:5][CH2:4][CH2:3]1,PF-07100868,CC1CCNC(C1)c2ccn(C)n2,9,225.0,209632.906485676,,MeOH,60.0,18.0,0.25,MFCD00064599,[Pd](O)O,,,20% Pd(OH)2/C,,,,,,,1.0,PF-07100869,n1(nc(cc1)c1nccc(c1)C)C,500.0,MFCD00070838,,,,,,MFCD00008868,DIPEA,3.0,,,Hydrogenation,[Pd](O)O,
329,9__PF-07100869__MFCD00070838__,SCRN_115,00119131-2737,RKB-04008008,HYDROGENATION,Metal Mediated,[CH3:1][c:2]1[cH:7][c:6]([c:8]2[n:13][n:11]([CH3:12])[cH:10][cH:9]2)[n:5][cH:4][cH:3]1>>[CH3:1][CH:2]1[CH2:7][CH:6]([c:8]2[n:13][n:11]([CH3:12])[cH:10][cH:9]2)[NH:5][CH2:4][CH2:3]1,PF-07100868,CC1CCNC(C1)c2ccn(C)n2,9,225.0,273594.30000904,,"2,2,2-Trifluoroethanol",60.0,18.0,0.25,,,,,10% Pt/C,,,,,,,1.0,PF-07100869,n1(nc(cc1)c1nccc(c1)C)C,500.0,MFCD00070838,,,,,,MFCD00008868,DIPEA,3.0,,,Hydrogenation,10% Pt/C,
330,9__PF-07075314__MFCD00070838__,SCRN_55,00119131-2718,RKB-04005404,HYDROGENATION,Metal Mediated,[CH3:1][c:2]1[c:16]([C:17]([CH2:39][CH2:38][c:37]([c:19]23)[c:23]([N:24]4[CH2:29][CH2:28][N:27]([C:30]([O:32][C:33]([CH3:36])([CH3:35])[CH3:34])=[O:31])[CH2:26][CH2:25]4)[n:22][cH:21][n:20]2)=[CH:18]3)[c:6]5[c:5]([n:9]([CH:10]6[O:15][CH2:14][CH2:13][CH2:12][CH2:11]6)[n:8][cH:7]5)[cH:4][cH:3]1>>[CH3:1][c:2]1[c:16]([CH:17]2[CH2:18][c:19]3[c:37]([c:23]([N:24]4[CH2:29][CH2:28][N:27]([C:30]([O:32][C:33]([CH3:36])([CH3:35])[CH3:34])=[O:31])[CH2:26][CH2:25]4)[n:22][cH:21][n:20]3)[CH2:38][CH2:39]2)[c:6]5[c:5]([n:9]([CH:10]6[O:15][CH2:14][CH2:13][CH2:12][CH2:11]6)[n:8][cH:7]5)[cH:4][cH:3]1,PF-07081619,Cc1ccc2c(cnn2C3CCCCO3)c1C4CCc5c(C4)ncnc5N6CCN(CC6)C(=O)OC(C)(C)C,9,280.0,652377.125,,AcOH/H2O 3:1,60.0,18.0,0.25,,,,,5% Rh/C,,,,,,,1.0,PF-07075314,c12c(ncnc1N1CCN(CC1)C(OC(C)(C)C)=O)C=C(CC2)c1c(ccc2c1cnn2[C@@H]1OCCCC1)C,500.0,MFCD00070838,,,,,,MFCD00011324,HCl,3.0,,,Hydrogenation,5% Rh/C,
331,9__PF-07037927____,SCRN_103,00119131-2475,RKB-03808517,HYDROGENATION,Metal Mediated,[CH3:1][C:2]([O:5][C:6]([N:8]1[C:19](=O)[c:18]([c:11]2[CH:10]=[CH:9]1)[c:16]([O:17]Cc3ccccc3)[cH:15][cH:14][c:12]2[F:13])=[O:7])([CH3:4])[CH3:3]>>[CH3:1][C:2]([O:5][C:6]([N:8]1[CH2:19][c:18]([c:11]2[CH2:10][CH2:9]1)[c:16]([OH:17])[cH:15][cH:14][c:12]2[F:13])=[O:7])([CH3:4])[CH3:3],PF-06873939,CC(C)(C)OC(=O)N1CCc2c(F)ccc(O)c2C1,9,280.0,58467.890625,,MeOH,50.0,18.0,0.25,MFCD00064599,[Pd](O)O,,,20% Pd(OH)2/C,,,,,,,1.0,PF-07037927,c1cc(c2c(c1OCc1ccccc1)c(n(cc2)C(OC(C)(C)C)=O)=O)F,,,,,,,,MFCD00011324,HCl,3.0,,,Hydrogenation,[Pd](O)O,
332,9__PF-07037927____,SCRN_103,00119131-2475,RKB-03808518,HYDROGENATION,Metal Mediated,[CH3:1][C:2]([O:5][C:6]([N:8]1[C:19](=O)[c:18]([c:11]2[CH:10]=[CH:9]1)[c:16]([O:17]Cc3ccccc3)[cH:15][cH:14][c:12]2[F:13])=[O:7])([CH3:4])[CH3:3]>>[CH3:1][C:2]([O:5][C:6]([N:8]1[CH2:19][c:18]([c:11]2[CH2:10][CH2:9]1)[c:16]([OH:17])[cH:15][cH:14][c:12]2[F:13])=[O:7])([CH3:4])[CH3:3],PF-06873939,CC(C)(C)OC(=O)N1CCc2c(F)ccc(O)c2C1,9,280.0,63723.2265625,,IPA,50.0,18.0,0.25,,,,,10% Pd/C E101,,,,,,,1.0,PF-07037927,c1cc(c2c(c1OCc1ccccc1)c(n(cc2)C(OC(C)(C)C)=O)=O)F,,,,,,,,,None,3.0,,,Hydrogenation,10% Pd/C E101,
334,9__PF-06892432____,SCRN_83,00119131-2150,RKB-03676859,HYDROGENATION,Metal Mediated,[N-]=[N+]=[N:1][CH:2]1[C@H:25]([O:26][C:27]([c:29]2[cH:34][cH:33][cH:32][cH:31][cH:30]2)=[O:28])[C@H:15]([O:16][C:17]([c:19]3[cH:24][cH:23][cH:22][cH:21][cH:20]3)=[O:18])[C@@H:4]([CH2:5][O:6][C:7]([c:9]4[cH:14][cH:13][cH:12][cH:11][cH:10]4)=[O:8])[O:3]1>>[NH2:1][CH:2]1[C@H:25]([O:26][C:27]([c:29]2[cH:34][cH:33][cH:32][cH:31][cH:30]2)=[O:28])[C@H:15]([O:16][C:17]([c:19]3[cH:24][cH:23][cH:22][cH:21][cH:20]3)=[O:18])[C@@H:4]([CH2:5][O:6][C:7]([c:9]4[cH:14][cH:13][cH:12][cH:11][cH:10]4)=[O:8])[O:3]1,PF-06892431,NC1O[C@H](COC(=O)c2ccccc2)[C@@H](OC(=O)c3ccccc3)[C@H]1OC(=O)c4ccccc4,9,280.0,3782667.75,,"2,2,2-Trifluoroethanol",25.0,18.0,0.25,,,,,10%% Pd/C (dry),,,,,,,1.0,PF-06892432,C1([C@@H]([C@@H]([C@H](O1)COC(=O)c1ccccc1)OC(c1ccccc1)=O)OC(c1ccccc1)=O)N=[N+]=[N-],,,,,,,,,None,3.0,,,Hydrogenation,10%% Pd/C (dry),
335,9__PF-06892432____,SCRN_83,00119131-2150,RKB-03676861,HYDROGENATION,Metal Mediated,[N-]=[N+]=[N:1][CH:2]1[C@H:25]([O:26][C:27]([c:29]2[cH:34][cH:33][cH:32][cH:31][cH:30]2)=[O:28])[C@H:15]([O:16][C:17]([c:19]3[cH:24][cH:23][cH:22][cH:21][cH:20]3)=[O:18])[C@@H:4]([CH2:5][O:6][C:7]([c:9]4[cH:14][cH:13][cH:12][cH:11][cH:10]4)=[O:8])[O:3]1>>[NH2:1][CH:2]1[C@H:25]([O:26][C:27]([c:29]2[cH:34][cH:33][cH:32][cH:31][cH:30]2)=[O:28])[C@H:15]([O:16][C:17]([c:19]3[cH:24][cH:23][cH:22][cH:21][cH:20]3)=[O:18])[C@@H:4]([CH2:5][O:6][C:7]([c:9]4[cH:14][cH:13][cH:12][cH:11][cH:10]4)=[O:8])[O:3]1,PF-06892431,NC1O[C@H](COC(=O)c2ccccc2)[C@@H](OC(=O)c3ccccc3)[C@H]1OC(=O)c4ccccc4,9,280.0,2096552.6875,,EtOAc,25.0,18.0,0.25,,,,,10%% Pd/C (dry),,,,,,,1.0,PF-06892432,C1([C@@H]([C@@H]([C@H](O1)COC(=O)c1ccccc1)OC(c1ccccc1)=O)OC(c1ccccc1)=O)N=[N+]=[N-],,,,,,,,,None,,,,Hydrogenation,10%% Pd/C (dry),
336,9__PF-06885968____,SCRN_217,00119131-2162,RKB-03678693,HYDROGENATION,Metal Mediated,[CH3:1][C:2]([NH:4][C:5]([CH2:12][CH2:11][CH2:10][C:8]1=[O:9])=[C:6]1[CH3:7])=[O:3]>>[CH3:7][C@@H:6]1[C:8](=[O:9])[CH2:10][CH2:11][CH2:12][C@@H:5]1[NH:4][C:2]([CH3:1])=[O:3],PF-06893330,C[C@H]1[C@H](CCCC1=O)NC(=O)C,9,280.0,39464.94140625,70.1646977298342,AcOH/H2O 4:1,80.0,18.0,0.25,,,,,RaNi 4200,,,,,,,1.0,PF-06885968,C=1(C(CCCC1NC(C)=O)=O)C,,,,,,,,MFCD00011324,HCl,3.0,,,Hydrogenation,RaNi 4200,
337,9__PF-06885968____,SCRN_217,00119131-2162,RKB-03678695,HYDROGENATION,Metal Mediated,[CH3:1][C:2]([NH:4][C:5]([CH2:12][CH2:11][CH2:10][C:8]1=[O:9])=[C:6]1[CH3:7])=[O:3]>>[CH3:7][C@@H:6]1[C:8](=[O:9])[CH2:10][CH2:11][CH2:12][C@@H:5]1[NH:4][C:2]([CH3:1])=[O:3],PF-06893330,C[C@H]1[C@H](CCCC1=O)NC(=O)C,9,280.0,36187.7734375,100,AcOH,80.0,18.0,0.25,,,,,10% Pt/C,,,,,,,1.0,PF-06885968,C=1(C(CCCC1NC(C)=O)=O)C,,,,,,,,,None,3.0,,,Hydrogenation,10% Pt/C,
338,9__PF-06885968____,SCRN_217,00119131-2162,RKB-03678696,HYDROGENATION,Metal Mediated,[CH3:1][C:2]([NH:4][C:5]([CH2:12][CH2:11][CH2:10][C:8]1=[O:9])=[C:6]1[CH3:7])=[O:3]>>[CH3:7][C@@H:6]1[C:8](=[O:9])[CH2:10][CH2:11][CH2:12][C@@H:5]1[NH:4][C:2]([CH3:1])=[O:3],PF-06893330,C[C@H]1[C@H](CCCC1=O)NC(=O)C,9,280.0,91437.306640625,100,EtOAc,80.0,18.0,0.25,,,,,10%% Pd/C (dry),,,,,,,1.0,PF-06885968,C=1(C(CCCC1NC(C)=O)=O)C,,,,,,,,MFCD00011324,HCl,3.0,,,Hydrogenation,10%% Pd/C (dry),
